station_id,station_name,latitude,longitude,data_start,data_end,country_id
72465,Goodland Renner Field,39.3667,-101.7,1895-06-09,2024-12-30,149
23518,Ust'- Sugor,64.2667,57.6167,1895-08-01,2024-04-18,119
10453,Brocken,51.8,10.6167,1896-01-01,2024-04-21,53
07560,Mont Aigoual,44.1167,3.5833,1896-01-01,2024-04-19,49
15350,Buzau,45.15,26.8167,1896-01-01,2024-04-20,118
72360,Clayton Municipal Airpark,36.45,-103.15,1896-02-01,2024-12-30,149
72755,Bemidji,47.5,-94.9333,1896-02-01,2024-04-18,149
72779,Glacier Park International  Airport,48.3,-114.2667,1896-06-01,2024-12-30,149
72636,Muskegon County Airport,43.1667,-86.2333,1896-06-02,2024-12-30,149
24966,Ust'- Maja,60.3833,134.45,1897-01-01,2024-04-20,119
72351,Wichita Falls Sheppard Afb,33.9833,-98.4928,1897-01-01,2024-12-30,149
37985,Lankaran,38.7333,48.8333,1897-05-01,2024-04-21,8
10469,Leipzig-Schkeuditz,51.4167,12.2333,1897-06-01,2024-02-28,53
72542,Burlington / Congers Mobile Home Park,40.7832,-91.1255,1897-07-14,2024-12-30,149
70133,Wien Memorial Airport,66.8833,-162.6,1897-09-12,2024-12-30,149
14652,Bjelasnica,43.7167,18.2667,1897-10-01,2024-04-20,16
D0445,Bernburg / Saale (Nord),51.8218,11.7109,1898-01-01,2024-04-21,53
68335,Taung / Lethola,-27.5453,24.7692,1898-01-01,2024-12-30,129
24641,Viljujsk,63.7667,121.6167,1898-02-01,2024-04-20,119
10184,Greifswald,54.1,13.4,1898-03-01,2024-04-21,53
71200,Victoria Gonzales CS,48.41,-123.32,1898-08-10,2024-12-29,24
25563,Anadyr,64.7833,177.5667,1898-08-14,2024-04-20,119
30636,Barguzin,53.6167,109.6333,1898-09-01,2024-04-20,119
38954,Khorog,37.5,71.5,1898-09-01,2024-04-17,137
72374,Winslow Municipal Airport,35.0333,-110.7167,1898-10-01,2024-12-30,149
70362,Skagway Airport,59.4667,-135.3167,1898-11-01,2024-04-18,149
72250,Brownsville/South Padre Is,25.9,-97.4231,1898-12-01,2024-12-29,149
26214,Vilsandi,58.3833,21.8167,1898-12-31,2024-01-31,45
32618,Nikol'Skoe,55.2,165.9833,1899-01-01,2024-01-21,119
10291,Angermuende,53.0333,14.0,1899-04-17,2024-04-21,53
70259,Kenai Municipal Airport,60.5833,-151.2333,1899-05-01,2024-04-15,149
72319,Anderson / Greenbriar,34.4946,-82.7094,1899-06-01,2024-04-17,149
29605,Tatarsk,55.2,75.9667,1899-09-01,2024-04-20,119
14015,Ljubljana / Bezigrad,46.0667,14.5167,1899-12-31,2024-04-20,127
33506,Poltava,49.6,34.55,1900-01-01,2024-04-20,146
35108,Uralsk,51.25,51.2833,1900-01-01,2024-04-21,71
28722,Ufa,54.7167,55.8333,1900-01-01,2024-01-31,119
72476,Grand Junction Walker Field,39.1333,-108.5333,1900-01-01,2024-12-30,149
10738,Stuttgart-Echterdingen,48.6833,9.2167,1900-01-01,2024-04-21,53
29467,Acinsk,56.2833,90.5,1900-02-01,2024-04-20,119
10961,Zugspitze,47.4167,10.9833,1900-08-01,2024-04-21,53
70200,Nome Airport,64.5167,-165.4333,1900-08-13,2024-12-30,149
08535,Lisboa / Geof,38.7167,-9.15,1900-12-31,2024-12-28,116
42111,Dehradun,30.3167,78.0333,1901-01-01,2024-04-21,61
11858,Hurbanovo,47.8667,18.2,1901-01-01,2024-04-20,126
42403,Cooch Behar,26.3333,89.4667,1901-01-01,2024-03-27,61
42398,Siliguri,26.6333,88.3167,1901-01-01,2024-04-10,61
42379,Gorakhpur,26.75,83.3667,1901-01-01,2024-04-11,61
42343,Ajmer,26.45,74.6167,1901-01-01,2024-04-19,61
12942,Pecs / Pogany,46.1,18.2333,1901-01-01,2024-04-17,59
42339,Jodhpur,26.3,73.0167,1901-01-01,2024-04-15,61
14654,Sarajevo-Bejelave,43.8667,18.4333,1901-01-01,2024-04-19,16
42273,Bahraich,27.5667,81.6,1901-01-01,2024-02-06,61
42099,Ludhiana,30.8667,75.9333,1901-01-01,2024-04-21,61
42189,Bareilly,28.3667,79.4,1901-01-01,2024-03-25,61
42182,New Delhi / Safdarjung,28.5833,77.2,1901-01-01,2024-04-15,61
42165,Bikaner,28.0,73.3,1901-01-01,2024-04-19,61
26242,Tartu,58.3,26.7333,1901-01-01,2024-04-19,45
42147,Mukteshwar Kumaon,29.4667,79.65,1901-01-01,2024-04-21,61
26629,Kaunas,54.8833,23.8333,1901-01-01,2024-04-18,81
42027,Srinagar,34.0833,74.8333,1901-01-01,2024-04-21,61
42083,Shimla,31.1,77.1667,1901-01-01,2024-04-21,61
42309,North Lakhimpur,27.2333,94.1167,1901-01-01,2024-04-21,61
31371,Chernjaevo,52.7833,126.0,1901-01-01,2024-04-20,119
42404,Dhubri,26.0167,89.9833,1901-01-01,2024-04-07,61
42423,Jorhat / Lengrabhita,26.0667,90.1667,1901-01-01,2024-04-21,61
43245,Nellore,14.45,79.9833,1901-01-01,2024-01-10,61
43233,Chitradurga,14.2333,76.4333,1901-01-01,2024-04-21,61
43225,Karwar,14.7833,74.1333,1901-01-01,2024-01-10,61
43185,Machilipatnam,16.2,81.15,1901-01-01,2024-01-28,61
43157,Kolhapur,16.7,74.2333,1901-01-01,2024-04-21,61
43149,Vishakhapatnam,17.7167,83.2333,1901-01-01,2024-03-22,61
43279,Madras / Minambakkam,13.0,80.1833,1901-01-01,2024-01-28,61
72439,Springfield / Bando,39.8442,-89.6781,1901-01-01,2024-12-27,149
43121,Gulbarga,17.35,76.85,1901-01-01,2024-04-21,61
43117,Sholapur,17.6667,75.9,1901-01-01,2024-04-21,61
43111,Mahabaleshwar,17.9333,73.6667,1901-01-01,2024-04-21,61
43110,Ratnagiri,16.9833,73.3333,1901-01-01,2024-04-21,61
43081,Nizamabad,18.6667,78.1,1901-01-01,2024-04-21,61
43063,Poona,18.5333,73.85,1901-01-01,2024-03-03,61
43128,Hyderabad Airport,17.45,78.4667,1901-01-01,2024-04-21,61
43295,Bangalore,12.9667,77.5833,1901-01-01,2024-01-05,61
43314,Kozhikode,11.25,75.7833,1901-01-01,2024-04-13,61
43325,Salem,11.65,78.1667,1901-01-01,2024-04-04,61
68723,Laingsburg,-33.1958,20.8708,1901-01-01,2024-12-16,129
07747,Perpignan,42.7333,2.8667000000000002,1901-01-01,2024-04-19,49
07510,Bordeaux / Merignac,44.8333,-0.7000000000000001,1901-01-01,2024-04-19,49
08280,Albacete / Los Llanos,38.95,-1.85,1901-01-01,2024-04-19,131
06770,Lugano,46.0,8.9667,1901-01-01,2024-04-18,135
06720,Sion,46.2167,7.3333,1901-01-01,2024-04-19,135
06660,Zurich Town / Ville.,47.3833,8.5667,1901-01-01,2024-04-19,135
06601,Basel / Binningen,47.5411,7.5836,1901-01-01,2024-04-19,135
06260,De Bilt,52.1,5.1833,1901-01-01,2024-04-19,101
43371,Thiruvananthapuram,8.4833,76.95,1901-01-01,2024-04-20,61
